2.5582 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
120.6641 	EXP 	grating: autoDraw = True
120.6641 	EXP 	grating: tex = 'sin'
120.9639 	EXP 	grating: autoDraw = False
121.0343 	EXP 	window1: recordFrameIntervals = False
121.0362 	DATA 	Keypress: right
121.0471 	EXP 	fixation: autoDraw = False
121.0471 	EXP 	grating: autoDraw = False
121.0474 	EXP 	window1: recordFrameIntervals = False
122.0255 	EXP 	fixation: autoDraw = True
123.0308 	EXP 	fixation: autoDraw = False
123.0473 	EXP 	grating: autoDraw = True
123.0473 	EXP 	grating: tex = 'sin'
123.3470 	EXP 	grating: autoDraw = False
123.3817 	EXP 	window1: recordFrameIntervals = False
123.3838 	DATA 	Keypress: left
123.3970 	EXP 	fixation: autoDraw = False
123.3970 	EXP 	grating: autoDraw = False
123.3972 	EXP 	window1: recordFrameIntervals = False
124.3716 	EXP 	fixation: autoDraw = True
125.3812 	EXP 	fixation: autoDraw = False
125.3812 	EXP 	grating: autoDraw = True
125.3812 	EXP 	grating: tex = 'sin'
125.6806 	EXP 	grating: autoDraw = False
125.7332 	DATA 	Keypress: right
125.7502 	EXP 	window1: recordFrameIntervals = False
125.7641 	EXP 	fixation: autoDraw = False
125.7641 	EXP 	grating: autoDraw = False
125.7644 	EXP 	window1: recordFrameIntervals = False
126.7403 	EXP 	fixation: autoDraw = True
127.7473 	EXP 	fixation: autoDraw = False
127.7644 	EXP 	grating: autoDraw = True
127.7644 	EXP 	grating: tex = 'sin'
128.0641 	EXP 	grating: autoDraw = False
128.1013 	EXP 	window1: recordFrameIntervals = False
128.1033 	DATA 	Keypress: left
128.1141 	EXP 	fixation: autoDraw = False
128.1141 	EXP 	grating: autoDraw = False
128.1144 	EXP 	window1: recordFrameIntervals = False
129.0944 	EXP 	fixation: autoDraw = True
130.0976 	EXP 	fixation: autoDraw = False
130.1144 	EXP 	grating: autoDraw = True
130.1144 	EXP 	grating: tex = 'sin'
130.4144 	EXP 	grating: autoDraw = False
130.4507 	EXP 	window1: recordFrameIntervals = False
130.4522 	DATA 	Keypress: right
130.4642 	EXP 	fixation: autoDraw = False
130.4642 	EXP 	grating: autoDraw = False
130.4645 	EXP 	window1: recordFrameIntervals = False
131.4407 	EXP 	fixation: autoDraw = True
132.4478 	EXP 	fixation: autoDraw = False
132.4645 	EXP 	grating: autoDraw = True
132.4645 	EXP 	grating: tex = 'sin'
132.7640 	EXP 	grating: autoDraw = False
132.8500 	EXP 	window1: recordFrameIntervals = False
132.8507 	DATA 	Keypress: right
132.8644 	EXP 	fixation: autoDraw = False
132.8644 	EXP 	grating: autoDraw = False
132.8647 	EXP 	window1: recordFrameIntervals = False
133.8409 	EXP 	fixation: autoDraw = True
134.8479 	EXP 	fixation: autoDraw = False
134.8647 	EXP 	grating: autoDraw = True
134.8647 	EXP 	grating: tex = 'sin'
135.1645 	EXP 	grating: autoDraw = False
135.2510 	EXP 	window1: recordFrameIntervals = False
135.2527 	DATA 	Keypress: right
135.2646 	EXP 	fixation: autoDraw = False
135.2646 	EXP 	grating: autoDraw = False
135.2650 	EXP 	window1: recordFrameIntervals = False
136.2415 	EXP 	fixation: autoDraw = True
137.2479 	EXP 	fixation: autoDraw = False
137.2648 	EXP 	grating: autoDraw = True
137.2648 	EXP 	grating: tex = 'sin'
137.5646 	EXP 	grating: autoDraw = False
